time,x,y,z,power,laser_on,layer,hatch,mode,front_coord,scan_id
1.00000001335143e-10,0.008000,0.000000,0.006000,0,0,1,1,weld,0.006000,0
0.0199999995529652,0.008360,0.000000,0.006000,0,0,1,1,weld,0.006000,1
0.0399999991059303,0.008720,0.000000,0.006000,0,0,1,1,weld,0.006000,2
0.0599999986588955,0.009080,0.000000,0.006000,0,0,1,1,weld,0.006000,3
0.0799999982118607,0.009440,0.000000,0.006000,0,0,1,1,weld,0.006000,4
0.100000001490116,0.009800,0.000000,0.006000,0,0,1,1,weld,0.006000,5
0.119999997317791,0.010160,0.000000,0.006000,0,0,1,1,weld,0.006000,6
0.140000000596046,0.010520,0.000000,0.006000,0,0,1,1,weld,0.006000,7
0.159999996423721,0.010880,0.000000,0.006000,0,0,1,1,weld,0.006000,8
0.174999997019768,0.011150,0.000000,0.006000,0,0,1,1,weld,0.006000,9
0.189999997615814,0.011420,0.000000,0.006000,0,0,1,1,weld,0.006000,10
0.204999998211861,0.011690,0.000000,0.006000,0,0,1,1,weld,0.006000,11
0.219999998807907,0.011960,0.000000,0.006000,0,0,1,1,weld,0.006000,12
0.234999999403954,0.012230,0.000000,0.006000,0,0,1,1,weld,0.006000,13
0.25,0.012500,0.000000,0.006000,0,0,1,1,weld,0.006000,14
0.264999985694885,0.012770,0.000000,0.006000,0,0,1,1,weld,0.006000,15
0.280000001192093,0.013040,0.000000,0.006000,0,0,1,1,weld,0.006000,16
0.294999986886978,0.013310,0.000000,0.006000,0,0,1,1,weld,0.006000,17
0.310000002384186,0.013580,0.000000,0.006000,0,0,1,1,weld,0.006000,18
0.324999988079071,0.013850,0.000000,0.006000,0,0,1,1,weld,0.006000,19
0.340000003576279,0.014120,0.000000,0.006000,0,0,1,1,weld,0.006000,20
0.354999989271164,0.014390,0.000000,0.006000,0,0,1,1,weld,0.006000,21
0.370000004768372,0.014660,0.000000,0.006000,0,0,1,1,weld,0.006000,22
0.384999990463257,0.014930,0.000000,0.006000,0,0,1,1,weld,0.006000,23
0.400000005960464,0.015200,0.000000,0.006000,0,0,1,1,weld,0.006000,24
0.41499999165535,0.015470,0.000000,0.006000,0,0,1,1,weld,0.006000,25
0.429999977350235,0.015740,0.000000,0.006000,0,0,1,1,weld,0.006000,26
0.444999992847443,0.016010,0.000000,0.006000,0,0,1,1,weld,0.006000,27
0.459999978542328,0.016280,0.000000,0.006000,0,0,1,1,weld,0.006000,28
0.474999994039536,0.016550,0.000000,0.006000,0,0,1,1,weld,0.006000,29
0.489999979734421,0.016820,0.000000,0.006000,0,0,1,1,weld,0.006000,30
0.504999995231628,0.017090,0.000000,0.006000,0,0,1,1,weld,0.006000,31
0.519999980926514,0.017360,0.000000,0.006000,0,0,1,1,weld,0.006000,32
0.534999966621399,0.017630,0.000000,0.006000,0,0,1,1,weld,0.006000,33
0.550000011920929,0.017900,0.000000,0.006000,0,0,1,1,weld,0.006000,34
0.564999997615814,0.018170,0.000000,0.006000,0,0,1,1,weld,0.006000,35
0.579999983310699,0.018440,0.000000,0.006000,0,0,1,1,weld,0.006000,36
0.594999969005585,0.018710,0.000000,0.006000,0,0,1,1,weld,0.006000,37
0.610000014305115,0.018980,0.000000,0.006000,0,0,1,1,weld,0.006000,38
0.629999995231628,0.019340,0.000000,0.006000,0,0,1,1,weld,0.006000,39
0.649999976158142,0.019700,0.000000,0.006000,0,0,1,1,weld,0.006000,40
0.669999957084656,0.020060,0.000000,0.006000,0,0,1,1,weld,0.006000,41
0.689999997615814,0.020420,0.000000,0.006000,0,0,1,1,weld,0.006000,42
0.709999978542328,0.020780,0.000000,0.006000,0,0,1,1,weld,0.006000,43
0.729999959468842,0.021140,0.000000,0.006000,0,0,1,1,weld,0.006000,44
0.75,0.021500,0.000000,0.006000,0,0,1,1,weld,0.006000,45
0.769999980926514,0.021860,0.000000,0.006000,0,0,1,1,weld,0.006000,46
0.789999961853027,0.022220,0.000000,0.006000,0,0,1,1,weld,0.006000,47
0.810000002384186,0.022580,0.000000,0.006000,0,0,1,1,weld,0.006000,48
0.829999983310699,0.022940,0.000000,0.006000,0,0,1,1,weld,0.006000,49
0.849999964237213,0.023300,0.000000,0.006000,0,0,1,1,weld,0.006000,50
0.870000004768372,0.023660,0.000000,0.006000,0,0,1,1,weld,0.006000,51
0.889999985694885,0.024020,0.000000,0.006000,0,0,1,1,weld,0.006000,52
0.909999966621399,0.024380,0.000000,0.006000,0,0,1,1,weld,0.006000,53
0.930000007152557,0.024740,0.000000,0.006000,0,0,1,1,weld,0.006000,54
0.949999988079071,0.025100,0.000000,0.006000,0,0,1,1,weld,0.006000,55
0.969999969005585,0.025460,0.000000,0.006000,0,0,1,1,weld,0.006000,56
0.989999949932098,0.025820,0.000000,0.006000,0,0,1,1,weld,0.006000,57
1.00999999046326,0.026180,0.000000,0.006000,0,0,1,1,weld,0.006000,58
1.02999997138977,0.026540,0.000000,0.006000,0,0,1,1,weld,0.006000,59
1.04999995231628,0.026900,0.000000,0.006000,0,0,1,1,weld,0.006000,60
1.0699999332428,0.027260,0.000000,0.006000,0,0,1,1,weld,0.006000,61
1.0900000333786,0.027620,0.000000,0.006000,0,0,1,1,weld,0.006000,62
1.11000001430511,0.027980,0.000000,0.006000,0,0,1,1,weld,0.006000,63
1.12999999523163,0.028340,0.000000,0.006000,0,0,1,1,weld,0.006000,64
1.14999997615814,0.028700,0.000000,0.006000,0,0,1,1,weld,0.006000,65
1.16999995708466,0.029060,0.000000,0.006000,0,0,1,1,weld,0.006000,66
1.18999993801117,0.029420,0.000000,0.006000,0,0,1,1,weld,0.006000,67
1.20999991893768,0.029780,0.000000,0.006000,0,0,1,1,weld,0.006000,68
1.23000001907349,0.030140,0.000000,0.006000,0,0,1,1,weld,0.006000,69
1.24500000476837,0.030410,0.000000,0.006000,0,0,1,1,weld,0.006000,70
1.26499998569489,0.030770,0.000000,0.006000,0,0,1,1,weld,0.006000,71
1.27999997138977,0.031040,0.000000,0.006000,0,0,1,1,weld,0.006000,72
1.29499995708466,0.031310,0.000000,0.006000,0,0,1,1,weld,0.006000,73
1.30999994277954,0.031580,0.000000,0.006000,0,0,1,1,weld,0.006000,74
1.32999992370605,0.031940,0.000000,0.006000,0,0,1,1,weld,0.006000,75
1.34500002861023,0.032210,0.000000,0.006000,0,0,1,1,weld,0.006000,76
1.36000001430511,0.032480,0.000000,0.006000,0,0,1,1,weld,0.006000,77
1.375,0.032750,0.000000,0.006000,0,0,1,1,weld,0.006000,78
1.38999998569489,0.033020,0.000000,0.006000,0,0,1,1,weld,0.006000,79
1.40499997138977,0.033290,0.000000,0.006000,0,0,1,1,weld,0.006000,80
1.42499995231628,0.033650,0.000000,0.006000,0,0,1,1,weld,0.006000,81
1.43999993801117,0.033920,0.000000,0.006000,0,0,1,1,weld,0.006000,82
1.45499992370605,0.034190,0.000000,0.006000,0,0,1,1,weld,0.006000,83
1.46999990940094,0.034460,0.000000,0.006000,0,0,1,1,weld,0.006000,84
