time,x,y,z,power,laser_on,layer,hatch,mode,front_coord,scan_id
0.34,0.010000,0.014075,0.006000,2540.000000,1,1,1,weld,0.006000,67
0.345,0.010000,0.014165,0.006000,2540.000000,1,1,1,weld,0.006000,68
0.35,0.010000,0.014255,0.006000,2540.000000,1,1,1,weld,0.006000,69
0.355,0.010000,0.014345,0.006000,2540.000000,1,1,1,weld,0.006000,70
0.36,0.010000,0.014435,0.006000,2540.000000,1,1,1,weld,0.006000,71
0.365,0.010000,0.014525,0.006000,2540.000000,1,1,1,weld,0.006000,72
0.37,0.010000,0.014615,0.006000,2540.000000,1,1,1,weld,0.006000,73
0.375,0.010000,0.014705,0.006000,2540.000000,1,1,1,weld,0.006000,74
0.38,0.010000,0.014795,0.006000,2540.000000,1,1,1,weld,0.006000,75
0.385,0.010000,0.014885,0.006000,2540.000000,1,1,1,weld,0.006000,76
0.39,0.010000,0.014975,0.006000,2540.000000,1,1,1,weld,0.006000,77
0.395,0.010000,0.015065,0.006000,2540.000000,1,1,1,weld,0.006000,78
0.4,0.010000,0.015155,0.006000,2540.000000,1,1,1,weld,0.006000,79
0.405,0.010000,0.015245,0.006000,2540.000000,1,1,1,weld,0.006000,80
0.41,0.010000,0.015335,0.006000,2540.000000,1,1,1,weld,0.006000,81
0.415,0.010000,0.015425,0.006000,2540.000000,1,1,1,weld,0.006000,82
0.42,0.010000,0.015515,0.006000,2540.000000,1,1,1,weld,0.006000,83
0.425,0.010000,0.015605,0.006000,2540.000000,1,1,1,weld,0.006000,84
0.43,0.010000,0.015695,0.006000,2540.000000,1,1,1,weld,0.006000,85
0.435,0.010000,0.015785,0.006000,2540.000000,1,1,1,weld,0.006000,86
0.44,0.010000,0.015875,0.006000,2540.000000,1,1,1,weld,0.006000,87
0.445,0.010000,0.015965,0.006000,2540.000000,1,1,1,weld,0.006000,88
0.45,0.010000,0.016055,0.006000,2540.000000,1,1,1,weld,0.006000,89
0.455,0.010000,0.016145,0.006000,2540.000000,1,1,1,weld,0.006000,90
0.46,0.010000,0.016235,0.006000,2540.000000,1,1,1,weld,0.006000,91
0.465,0.010000,0.016325,0.006000,2540.000000,1,1,1,weld,0.006000,92
0.47,0.010000,0.016415,0.006000,2540.000000,1,1,1,weld,0.006000,93
0.475,0.010000,0.016505,0.006000,2540.000000,1,1,1,weld,0.006000,94
0.48,0.010000,0.016595,0.006000,2540.000000,1,1,1,weld,0.006000,95
0.485,0.010000,0.016685,0.006000,2540.000000,1,1,1,weld,0.006000,96
0.49,0.010000,0.016775,0.006000,2540.000000,1,1,1,weld,0.006000,97
0.495,0.010000,0.016865,0.006000,2540.000000,1,1,1,weld,0.006000,98
0.5,0.010000,0.016955,0.006000,2540.000000,1,1,1,weld,0.006000,99
0.505,0.010000,0.017045,0.006000,2540.000000,1,1,1,weld,0.006000,100
0.51,0.010000,0.017135,0.006000,2540.000000,1,1,1,weld,0.006000,101
0.515,0.010000,0.017225,0.006000,2540.000000,1,1,1,weld,0.006000,102
0.52,0.010000,0.017315,0.006000,2540.000000,1,1,1,weld,0.006000,103
0.525,0.010000,0.017405,0.006000,2540.000000,1,1,1,weld,0.006000,104
0.53,0.010000,0.017495,0.006000,2540.000000,1,1,1,weld,0.006000,105
0.535,0.010000,0.017585,0.006000,2540.000000,1,1,1,weld,0.006000,106
0.54,0.010000,0.017675,0.006000,2540.000000,1,1,1,weld,0.006000,107
0.545,0.010000,0.017765,0.006000,2540.000000,1,1,1,weld,0.006000,108
0.55,0.010000,0.017855,0.006000,2540.000000,1,1,1,weld,0.006000,109
0.555,0.010000,0.017945,0.006000,2540.000000,1,1,1,weld,0.006000,110
0.56,0.010000,0.018035,0.006000,2540.000000,1,1,1,weld,0.006000,111
0.565,0.010000,0.018125,0.006000,2540.000000,1,1,1,weld,0.006000,112
0.57,0.010000,0.018215,0.006000,2540.000000,1,1,1,weld,0.006000,113
0.575,0.010000,0.018305,0.006000,2540.000000,1,1,1,weld,0.006000,114
0.58,0.010000,0.018395,0.006000,2540.000000,1,1,1,weld,0.006000,115
0.585,0.010000,0.018485,0.006000,2540.000000,1,1,1,weld,0.006000,116
0.59,0.010000,0.018575,0.006000,2540.000000,1,1,1,weld,0.006000,117
0.595,0.010000,0.018665,0.006000,2540.000000,1,1,1,weld,0.006000,118
0.6,0.010000,0.018755,0.006000,2540.000000,1,1,1,weld,0.006000,119
0.605,0.010000,0.018845,0.006000,2540.000000,1,1,1,weld,0.006000,120
0.61,0.010000,0.018935,0.006000,2540.000000,1,1,1,weld,0.006000,121
0.615,0.010000,0.019025,0.006000,2540.000000,1,1,1,weld,0.006000,122
0.62,0.010000,0.019115,0.006000,2540.000000,1,1,1,weld,0.006000,123
0.625,0.010000,0.019205,0.006000,2540.000000,1,1,1,weld,0.006000,124
0.63,0.010000,0.019295,0.006000,2540.000000,1,1,1,weld,0.006000,125
0.635,0.010000,0.019385,0.006000,2540.000000,1,1,1,weld,0.006000,126
0.64,0.010000,0.019475,0.006000,2540.000000,1,1,1,weld,0.006000,127
0.645,0.010000,0.019565,0.006000,2540.000000,1,1,1,weld,0.006000,128
0.65,0.010000,0.019655,0.006000,2540.000000,1,1,1,weld,0.006000,129
0.655,0.010000,0.019745,0.006000,2540.000000,1,1,1,weld,0.006000,130
0.66,0.010000,0.019835,0.006000,2540.000000,1,1,1,weld,0.006000,131
0.665,0.010000,0.019925,0.006000,2540.000000,1,1,1,weld,0.006000,132
0.67,0.010000,0.020015,0.006000,2540.000000,1,1,1,weld,0.006000,133
0.675,0.010000,0.020105,0.006000,2540.000000,1,1,1,weld,0.006000,134
0.68,0.010000,0.020195,0.006000,2540.000000,1,1,1,weld,0.006000,135
0.685,0.010000,0.020285,0.006000,2540.000000,1,1,1,weld,0.006000,136
0.690000000000001,0.010000,0.020375,0.006000,2540.000000,1,1,1,weld,0.006000,137
0.695000000000001,0.010000,0.020465,0.006000,2540.000000,1,1,1,weld,0.006000,138
0.700000000000001,0.010000,0.020555,0.006000,2540.000000,1,1,1,weld,0.006000,139
0.705000000000001,0.010000,0.020645,0.006000,2540.000000,1,1,1,weld,0.006000,140
0.710000000000001,0.010000,0.020735,0.006000,2540.000000,1,1,1,weld,0.006000,141
0.715000000000001,0.010000,0.020825,0.006000,2540.000000,1,1,1,weld,0.006000,142
0.720000000000001,0.010000,0.020915,0.006000,2540.000000,1,1,1,weld,0.006000,143
0.725000000000001,0.010000,0.021005,0.006000,2540.000000,1,1,1,weld,0.006000,144
0.730000000000001,0.010000,0.021095,0.006000,2540.000000,1,1,1,weld,0.006000,145
0.735000000000001,0.010000,0.021185,0.006000,2540.000000,1,1,1,weld,0.006000,146
0.740000000000001,0.010000,0.021275,0.006000,2540.000000,1,1,1,weld,0.006000,147
0.745000000000001,0.010000,0.021365,0.006000,2540.000000,1,1,1,weld,0.006000,148
0.750000000000001,0.010000,0.021455,0.006000,2540.000000,1,1,1,weld,0.006000,149
0.755000000000001,0.010000,0.021545,0.006000,2540.000000,1,1,1,weld,0.006000,150
0.760000000000001,0.010000,0.021635,0.006000,2540.000000,1,1,1,weld,0.006000,151
0.765000000000001,0.010000,0.021725,0.006000,2540.000000,1,1,1,weld,0.006000,152
0.770000000000001,0.010000,0.021815,0.006000,2540.000000,1,1,1,weld,0.006000,153
0.775000000000001,0.010000,0.021905,0.006000,2540.000000,1,1,1,weld,0.006000,154
0.780000000000001,0.010000,0.021995,0.006000,2540.000000,1,1,1,weld,0.006000,155
0.785000000000001,0.010000,0.022085,0.006000,2540.000000,1,1,1,weld,0.006000,156
0.790000000000001,0.010000,0.022175,0.006000,2540.000000,1,1,1,weld,0.006000,157
0.795000000000001,0.010000,0.022265,0.006000,2540.000000,1,1,1,weld,0.006000,158
0.800000000000001,0.010000,0.022355,0.006000,2540.000000,1,1,1,weld,0.006000,159
0.805000000000001,0.010000,0.022445,0.006000,2540.000000,1,1,1,weld,0.006000,160
0.810000000000001,0.010000,0.022535,0.006000,2540.000000,1,1,1,weld,0.006000,161
0.815000000000001,0.010000,0.022625,0.006000,2540.000000,1,1,1,weld,0.006000,162
0.820000000000001,0.010000,0.022715,0.006000,2540.000000,1,1,1,weld,0.006000,163
0.825000000000001,0.010000,0.022805,0.006000,2540.000000,1,1,1,weld,0.006000,164
0.830000000000001,0.010000,0.022895,0.006000,2540.000000,1,1,1,weld,0.006000,165
0.835000000000001,0.010000,0.022985,0.006000,2540.000000,1,1,1,weld,0.006000,166
0.840000000000001,0.010000,0.023075,0.006000,2540.000000,1,1,1,weld,0.006000,167
0.845000000000001,0.010000,0.023165,0.006000,2540.000000,1,1,1,weld,0.006000,168
0.850000000000001,0.010000,0.023255,0.006000,2540.000000,1,1,1,weld,0.006000,169
0.855000000000001,0.010000,0.023345,0.006000,2540.000000,1,1,1,weld,0.006000,170
0.860000000000001,0.010000,0.023435,0.006000,2540.000000,1,1,1,weld,0.006000,171
0.865000000000001,0.010000,0.023525,0.006000,2540.000000,1,1,1,weld,0.006000,172
0.870000000000001,0.010000,0.023615,0.006000,2540.000000,1,1,1,weld,0.006000,173
0.875000000000001,0.010000,0.023705,0.006000,2540.000000,1,1,1,weld,0.006000,174
0.880000000000001,0.010000,0.023795,0.006000,2540.000000,1,1,1,weld,0.006000,175
0.885000000000001,0.010000,0.023885,0.006000,2540.000000,1,1,1,weld,0.006000,176
0.890000000000001,0.010000,0.023975,0.006000,2540.000000,1,1,1,weld,0.006000,177
0.895000000000001,0.010000,0.024065,0.006000,2540.000000,1,1,1,weld,0.006000,178
0.900000000000001,0.010000,0.024155,0.006000,2540.000000,1,1,1,weld,0.006000,179
0.905000000000001,0.010000,0.024245,0.006000,2540.000000,1,1,1,weld,0.006000,180
0.910000000000001,0.010000,0.024335,0.006000,2540.000000,1,1,1,weld,0.006000,181
0.915000000000001,0.010000,0.024425,0.006000,2540.000000,1,1,1,weld,0.006000,182
0.920000000000001,0.010000,0.024515,0.006000,2540.000000,1,1,1,weld,0.006000,183
0.925000000000001,0.010000,0.024605,0.006000,2540.000000,1,1,1,weld,0.006000,184
0.930000000000001,0.010000,0.024695,0.006000,2540.000000,1,1,1,weld,0.006000,185
0.935000000000001,0.010000,0.024785,0.006000,2540.000000,1,1,1,weld,0.006000,186
0.940000000000001,0.010000,0.024875,0.006000,2540.000000,1,1,1,weld,0.006000,187
0.945000000000001,0.010000,0.024965,0.006000,2540.000000,1,1,1,weld,0.006000,188
0.950000000000001,0.010000,0.025055,0.006000,2540.000000,1,1,1,weld,0.006000,189
0.955000000000001,0.010000,0.025145,0.006000,2540.000000,1,1,1,weld,0.006000,190
0.960000000000001,0.010000,0.025235,0.006000,2540.000000,1,1,1,weld,0.006000,191
0.965000000000001,0.010000,0.025325,0.006000,2540.000000,1,1,1,weld,0.006000,192
0.970000000000001,0.010000,0.025415,0.006000,2540.000000,1,1,1,weld,0.006000,193
0.975000000000001,0.010000,0.025505,0.006000,2540.000000,1,1,1,weld,0.006000,194
0.980000000000001,0.010000,0.025595,0.006000,2540.000000,1,1,1,weld,0.006000,195
0.985000000000001,0.010000,0.025685,0.006000,2540.000000,1,1,1,weld,0.006000,196
0.990000000000001,0.010000,0.025775,0.006000,2540.000000,1,1,1,weld,0.006000,197
0.995000000000001,0.010000,0.025865,0.006000,2540.000000,1,1,1,weld,0.006000,198
1,0.010000,0.025955,0.006000,2540.000000,1,1,1,weld,0.006000,199
1.005,0.010000,0.026045,0.006000,2540.000000,1,1,1,weld,0.006000,200
1.01,0.010000,0.026135,0.006000,2540.000000,1,1,1,weld,0.006000,201
1.015,0.010000,0.026225,0.006000,2540.000000,1,1,1,weld,0.006000,202
1.02,0.010000,0.026315,0.006000,2540.000000,1,1,1,weld,0.006000,203
1.025,0.010000,0.026405,0.006000,2540.000000,1,1,1,weld,0.006000,204
1.03,0.010000,0.026495,0.006000,2540.000000,1,1,1,weld,0.006000,205
1.035,0.010000,0.026585,0.006000,2540.000000,1,1,1,weld,0.006000,206
1.04,0.010000,0.026675,0.006000,2540.000000,1,1,1,weld,0.006000,207
1.045,0.010000,0.026765,0.006000,2540.000000,1,1,1,weld,0.006000,208
1.05,0.010000,0.026855,0.006000,2540.000000,1,1,1,weld,0.006000,209
1.055,0.010000,0.026945,0.006000,2540.000000,1,1,1,weld,0.006000,210
1.06,0.010000,0.027035,0.006000,2540.000000,1,1,1,weld,0.006000,211
1.065,0.010000,0.027125,0.006000,2540.000000,1,1,1,weld,0.006000,212
1.07,0.010000,0.027215,0.006000,2540.000000,1,1,1,weld,0.006000,213
1.075,0.010000,0.027305,0.006000,2540.000000,1,1,1,weld,0.006000,214
1.08,0.010000,0.027395,0.006000,2540.000000,1,1,1,weld,0.006000,215
1.085,0.010000,0.027485,0.006000,2540.000000,1,1,1,weld,0.006000,216
1.09,0.010000,0.027575,0.006000,2540.000000,1,1,1,weld,0.006000,217
1.095,0.010000,0.027665,0.006000,2540.000000,1,1,1,weld,0.006000,218
1.1,0.010000,0.027755,0.006000,2540.000000,1,1,1,weld,0.006000,219
1.105,0.010000,0.027845,0.006000,2540.000000,1,1,1,weld,0.006000,220
1.11,0.010000,0.027935,0.006000,2540.000000,1,1,1,weld,0.006000,221
1.115,0.010000,0.028025,0.006000,2540.000000,1,1,1,weld,0.006000,222
1.12,0.010000,0.028115,0.006000,2540.000000,1,1,1,weld,0.006000,223
1.125,0.010000,0.028205,0.006000,2540.000000,1,1,1,weld,0.006000,224
1.13,0.010000,0.028295,0.006000,2540.000000,1,1,1,weld,0.006000,225
1.135,0.010000,0.028385,0.006000,2540.000000,1,1,1,weld,0.006000,226
1.14,0.010000,0.028475,0.006000,2540.000000,1,1,1,weld,0.006000,227
1.145,0.010000,0.028565,0.006000,2540.000000,1,1,1,weld,0.006000,228
1.15,0.010000,0.028655,0.006000,2540.000000,1,1,1,weld,0.006000,229
1.155,0.010000,0.028745,0.006000,2540.000000,1,1,1,weld,0.006000,230
1.16,0.010000,0.028835,0.006000,2540.000000,1,1,1,weld,0.006000,231
1.165,0.010000,0.028925,0.006000,2540.000000,1,1,1,weld,0.006000,232
1.17,0.010000,0.029015,0.006000,2540.000000,1,1,1,weld,0.006000,233
1.175,0.010000,0.029105,0.006000,2540.000000,1,1,1,weld,0.006000,234
1.18,0.010000,0.029195,0.006000,2540.000000,1,1,1,weld,0.006000,235
1.185,0.010000,0.029285,0.006000,2540.000000,1,1,1,weld,0.006000,236
1.19,0.010000,0.029375,0.006000,2540.000000,1,1,1,weld,0.006000,237
1.195,0.010000,0.029465,0.006000,2540.000000,1,1,1,weld,0.006000,238
1.2,0.010000,0.029555,0.006000,2540.000000,1,1,1,weld,0.006000,239
1.205,0.010000,0.029645,0.006000,2540.000000,1,1,1,weld,0.006000,240
1.21,0.010000,0.029735,0.006000,2540.000000,1,1,1,weld,0.006000,241
1.215,0.010000,0.029825,0.006000,2540.000000,1,1,1,weld,0.006000,242
1.22,0.010000,0.029915,0.006000,2540.000000,1,1,1,weld,0.006000,243
1.225,0.010000,0.030005,0.006000,2540.000000,1,1,1,weld,0.006000,244
1.23,0.010000,0.030095,0.006000,2540.000000,1,1,1,weld,0.006000,245
1.235,0.010000,0.030185,0.006000,2540.000000,1,1,1,weld,0.006000,246
1.24,0.010000,0.030275,0.006000,2540.000000,1,1,1,weld,0.006000,247
1.245,0.010000,0.030365,0.006000,2540.000000,1,1,1,weld,0.006000,248
1.25,0.010000,0.030455,0.006000,2540.000000,1,1,1,weld,0.006000,249
1.255,0.010000,0.030545,0.006000,2540.000000,1,1,1,weld,0.006000,250
1.26,0.010000,0.030635,0.006000,2540.000000,1,1,1,weld,0.006000,251
1.265,0.010000,0.030725,0.006000,2540.000000,1,1,1,weld,0.006000,252
1.26999999999999,0.010000,0.030815,0.006000,2540.000000,1,1,1,weld,0.006000,253
1.27499999999999,0.010000,0.030905,0.006000,2540.000000,1,1,1,weld,0.006000,254
1.27999999999999,0.010000,0.030995,0.006000,2540.000000,1,1,1,weld,0.006000,255
1.28499999999999,0.010000,0.031085,0.006000,2540.000000,1,1,1,weld,0.006000,256
1.28999999999999,0.010000,0.031175,0.006000,2540.000000,1,1,1,weld,0.006000,257
1.29499999999999,0.010000,0.031265,0.006000,2540.000000,1,1,1,weld,0.006000,258
1.29999999999999,0.010000,0.031355,0.006000,2540.000000,1,1,1,weld,0.006000,259
1.30499999999999,0.010000,0.031445,0.006000,2540.000000,1,1,1,weld,0.006000,260
1.30999999999999,0.010000,0.031535,0.006000,2540.000000,1,1,1,weld,0.006000,261
1.31499999999999,0.010000,0.031625,0.006000,2540.000000,1,1,1,weld,0.006000,262
1.31999999999999,0.010000,0.031715,0.006000,2540.000000,1,1,1,weld,0.006000,263
1.32499999999999,0.010000,0.031805,0.006000,2540.000000,1,1,1,weld,0.006000,264
1.32999999999999,0.010000,0.031895,0.006000,2540.000000,1,1,1,weld,0.006000,265
1.33499999999999,0.010000,0.031985,0.006000,2540.000000,1,1,1,weld,0.006000,266
1.33999999999999,0.010000,0.032075,0.006000,2540.000000,1,1,1,weld,0.006000,267
1.34499999999999,0.010000,0.032165,0.006000,2540.000000,1,1,1,weld,0.006000,268
1.34999999999999,0.010000,0.032255,0.006000,2540.000000,1,1,1,weld,0.006000,269
1.35499999999999,0.010000,0.032345,0.006000,2540.000000,1,1,1,weld,0.006000,270
1.35999999999999,0.010000,0.032435,0.006000,2540.000000,1,1,1,weld,0.006000,271
1.36499999999999,0.010000,0.032525,0.006000,2540.000000,1,1,1,weld,0.006000,272
1.36999999999999,0.010000,0.032615,0.006000,2540.000000,1,1,1,weld,0.006000,273
1.37499999999999,0.010000,0.032705,0.006000,2540.000000,1,1,1,weld,0.006000,274
1.37999999999999,0.010000,0.032795,0.006000,2540.000000,1,1,1,weld,0.006000,275
1.38499999999999,0.010000,0.032885,0.006000,2540.000000,1,1,1,weld,0.006000,276
1.38999999999999,0.010000,0.032975,0.006000,2540.000000,1,1,1,weld,0.006000,277
1.39499999999999,0.010000,0.033065,0.006000,2540.000000,1,1,1,weld,0.006000,278
1.39999999999999,0.010000,0.033155,0.006000,2540.000000,1,1,1,weld,0.006000,279
1.40499999999999,0.010000,0.033245,0.006000,2540.000000,1,1,1,weld,0.006000,280
1.40999999999999,0.010000,0.033335,0.006000,2540.000000,1,1,1,weld,0.006000,281
1.41499999999999,0.010000,0.033425,0.006000,2540.000000,1,1,1,weld,0.006000,282
1.41999999999999,0.010000,0.033515,0.006000,2540.000000,1,1,1,weld,0.006000,283
1.42499999999999,0.010000,0.033605,0.006000,2540.000000,1,1,1,weld,0.006000,284
1.42999999999999,0.010000,0.033695,0.006000,2540.000000,1,1,1,weld,0.006000,285
1.43499999999999,0.010000,0.033785,0.006000,2540.000000,1,1,1,weld,0.006000,286
1.43999999999999,0.010000,0.033875,0.006000,2540.000000,1,1,1,weld,0.006000,287
1.44499999999999,0.010000,0.033965,0.006000,2540.000000,1,1,1,weld,0.006000,288
1.44999999999999,0.010000,0.034055,0.006000,2540.000000,1,1,1,weld,0.006000,289
1.45499999999999,0.010000,0.034145,0.006000,2540.000000,1,1,1,weld,0.006000,290
1.45999999999999,0.010000,0.034235,0.006000,2540.000000,1,1,1,weld,0.006000,291
1.46499999999999,0.010000,0.034325,0.006000,2540.000000,1,1,1,weld,0.006000,292
1.46999999999999,0.010000,0.034415,0.006000,2540.000000,1,1,1,weld,0.006000,293
1.47499999999999,0.010000,0.034505,0.006000,2540.000000,1,1,1,weld,0.006000,294
1.47999999999999,0.010000,0.034595,0.006000,2540.000000,1,1,1,weld,0.006000,295
1.48499999999999,0.010000,0.034685,0.006000,2540.000000,1,1,1,weld,0.006000,296
1.48999999999999,0.010000,0.034775,0.006000,2540.000000,1,1,1,weld,0.006000,297
1.49499999999999,0.010000,0.034865,0.006000,2540.000000,1,1,1,weld,0.006000,298
1.49999999999999,0.010000,0.034955,0.006000,2540.000000,1,1,1,weld,0.006000,299
1.50574999999999,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,300
1.51236249999999,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,301
1.51996687499999,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,302
1.52871190624999,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,303
1.53876869218749,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,304
1.55033399601561,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,305
1.56363409541796,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,306
1.57892920973065,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,307
1.59651859119025,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,308
1.61674637986879,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,309
1.64000833684911,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,310
1.66675958737648,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,311
1.69752352548296,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,312
1.7329020543054,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,313
1.77358736245121,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,314
1.8203754668189,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,315
1.87418178684173,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,316
1.93605905486799,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,317
2.00721791309819,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,318
2.08905060006292,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,319
2.18315819007236,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,320
2.29138191858322,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,321
2.4158392063707,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,322
2.55896508732631,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,323
2.72355985042526,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,324
2.91284382798905,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,325
3.13052040218741,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,326
3.38084846251552,0.010000,0.035000,0.006000,0,0,1,1,cooling,0.006000,327
