T,value,source
293.15,869,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
373.15,912,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
523.15,981,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
673.15,1040,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
823.15,1189,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
