T,value,source
973.15,1110,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); liquid rows 700-1000 C"
1123.15,1066,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); liquid rows 700-1000 C"
1273.15,1015,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); liquid rows 700-1000 C"
