T,value,source
293.15,2780,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); REFERENCE ONLY, solver uses constant rho"
373.15,2760,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); REFERENCE ONLY, solver uses constant rho"
523.15,2730,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); REFERENCE ONLY, solver uses constant rho"
673.15,2700,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); REFERENCE ONLY, solver uses constant rho"
823.15,2660,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); REFERENCE ONLY, solver uses constant rho"
973.15,2450,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); REFERENCE ONLY, solver uses constant rho"
1123.15,2430,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); REFERENCE ONLY, solver uses constant rho"
1273.15,2420,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); REFERENCE ONLY, solver uses constant rho"
