T,value,source
293.15,156,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
373.15,164,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
523.15,174,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
673.15,182,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
823.15,189,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); solid rows 20-550 C"
