T,value,source
973.15,88,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); liquid rows 700-1000 C (k drop at 700 C read as liquid)"
1123.15,92,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); liquid rows 700-1000 C (k drop at 700 C read as liquid)"
1273.15,105,"Lu 2020 JMP 50:380-393 Table 1 (no column source cited); liquid rows 700-1000 C (k drop at 700 C read as liquid)"
