layer,n_free,name,status,setup_s,iters,solve_s,total_s,rel_res,converged,levels,operator_complexity
30,278562,pardiso_direct,ok,0.0,1,2.195521354675293,4.895142555236816,1.4121480980404804e-15,True,,
30,278562,jacobi_cg,ok,0.013420343399047852,1000,12.941036462783813,12.96489691734314,1.4265685930471993e-05,False,,
30,278562,jacobi_bicgstab,ok,0.012821674346923828,856,21.392858505249023,21.415982007980347,8.697385972393271e-07,True,,
30,278562,blockjacobi_cg,ok,0.1470658779144287,1000,13.196538209915161,13.354083776473999,8.180092158111323e-06,False,,
30,278562,sa_amg_default_cg,ok,0.8890771865844727,371,41.61418390274048,42.513638734817505,9.581926590632672e-07,True,3,1.005282874133211
30,278562,sa_amg_rbm_cg,ok,2.4756357669830322,49,6.711824417114258,9.198887586593628,9.567034021594941e-07,True,3,1.1901108570762509
30,278562,sa_amg_rbm_scaled_cg,ok,2.69657301902771,46,5.940112113952637,8.649387121200562,8.061674116388867e-07,True,3,1.1901157613535174
30,278562,rs_amg_cg,ok,2.9289610385894775,365,49.093016386032104,52.03308629989624,9.872936237275548e-07,True,4,1.3042168300589587
90,560607,pardiso_direct,ok,0.0,1,4.008703231811523,8.422827959060669,2.2475798130420095e-15,True,,
90,560607,jacobi_cg,ok,0.025591135025024414,1000,24.174646615982056,24.220231294631958,0.0002614351681728426,False,,
90,560607,jacobi_bicgstab,ok,0.025082111358642578,1000,48.01896595954895,48.06487822532654,8.037834016195158e-05,False,,
90,560607,blockjacobi_cg,ok,0.2649061679840088,1000,25.91437315940857,26.20614004135132,0.0001988605077636065,False,,
90,560607,sa_amg_default_cg,ok,1.6024994850158691,1000,211.23448204994202,212.86540627479553,7.667170890210716e-06,False,3,1.0055039814522715
90,560607,sa_amg_rbm_cg,ok,5.297687292098999,49,12.825853109359741,18.145051956176758,8.87283671487328e-07,True,3,1.1980200284245222
90,560607,sa_amg_rbm_scaled_cg,ok,5.149775505065918,43,11.164278984069824,16.338507175445557,9.285226939458591e-07,True,3,1.1980595779717575
90,560607,rs_amg_cg,ok,5.328736066818237,1000,248.2749457359314,253.62393641471863,8.388752874512574e-06,False,5,1.2668525284486223
150,818394,pardiso_direct,ok,0.0,1,6.385736703872681,13.6228187084198,5.368790233941441e-15,True,,
150,818394,jacobi_cg,ok,0.04376959800720215,1000,34.90109872817993,34.985912799835205,0.0004889702766524502,False,,
150,818394,jacobi_bicgstab,ok,0.03850054740905762,1000,69.55200529098511,69.6279993057251,2.520235291006766e-05,False,,
150,818394,blockjacobi_cg,ok,0.38090062141418457,1000,36.453598737716675,36.87704849243164,0.0004435624373763635,False,,
150,818394,sa_amg_default_cg,ok,2.9912030696868896,1000,312.32446551322937,315.3450376987457,4.7474545636885385e-05,False,3,1.0055391680028445
150,818394,sa_amg_rbm_cg,ok,7.512341499328613,56,21.271068572998047,28.821739196777344,8.061068742138815e-07,True,3,1.1992893979350998
150,818394,sa_amg_rbm_scaled_cg,ok,8.064000844955444,50,18.93257451057434,27.030439138412476,8.964773791364331e-07,True,3,1.1992894434735557
150,818394,rs_amg_cg,ok,7.567270278930664,1000,357.3600318431854,364.95753812789917,4.9822612337973524e-05,False,5,1.2663843917376876
